drive,stop_distance,k_cross,k_heading,success,reason,cross_track_m,endpoint_distance_m,terminal_speed_mps,steps
0.5,0.8,0.6,1.5,0,2,1.5016649961471558,2.924734354019165,0.5470514297485352,709
0.5,0.8,0.6,1.5,0,2,1.5019885301589966,3.002591848373413,0.5451167821884155,711
0.5,0.8,0.6,1.5,0,2,1.5062154531478882,3.030456781387329,0.5451186299324036,713
0.65,0.8,1.2,1.5,0,2,1.5046358108520508,1.7431707382202148,0.7099463939666748,716
0.5,0.8,0.6,1.5,0,2,1.5073891878128052,1.5864083766937256,0.5363560914993286,719
0.65,1.2,1.2,0.8,0,2,1.5053956508636475,1.5945440530776978,0.6806039214134216,720
0.5,0.8,0.6,0.8,0,2,1.5079281330108643,1.726586937904358,0.542077898979187,721
0.5,0.8,1.2,0.8,0,2,1.5099480152130127,1.9400553703308105,0.5456031560897827,722
0.65,1.2,1.2,0.8,0,2,1.5010793209075928,1.9762457609176636,0.704806923866272,724
0.5,0.8,0.6,1.5,0,2,1.5047762393951416,1.5594453811645508,0.5355449914932251,725
0.5,0.8,1.2,1.5,0,2,1.507201910018921,1.8379992246627808,0.5351786017417908,729
0.65,1.6,0.6,0.8,0,2,1.5072131156921387,1.9485434293746948,0.688293993473053,730
0.65,1.6,1.2,0.8,0,2,1.5019727945327759,1.935645341873169,0.682536780834198,732
0.5,0.8,0.6,1.5,0,2,1.5020768642425537,1.581525444984436,0.5360193252563477,733
0.65,0.8,1.2,0.8,0,2,1.5060679912567139,1.9004372358322144,0.6897545456886292,735
0.65,1.6,1.2,0.8,0,2,1.50758957862854,1.879356861114502,0.683972179889679,735
0.5,0.8,0.6,1.5,0,2,1.5077519416809082,1.6175081729888916,0.5410312414169312,740
0.65,1.2,1.2,0.8,0,2,1.50141441822052,1.684173345565796,0.7037429213523865,740
0.65,1.6,1.2,0.8,0,2,1.5023231506347656,1.7469968795776367,0.6769689917564392,740
0.65,0.8,1.2,0.8,0,2,1.505948543548584,2.183137893676758,0.7233157157897949,741
0.65,1.6,0.6,1.5,0,2,1.503024697303772,1.5870722532272339,0.5916727781295776,741
